Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,23.0,28.2,28.2,31.2,,,,,,,,,
Baja California,21.3,23.5,27.9,25.6,,,,,,,,,
Baja California Sur,26.1,27.7,30.0,30.6,,,,,,,,,
Campeche,29.0,29.8,32.7,35.1,,,,,,,,,
Coahuila,21.3,27.8,30.3,31.2,,,,,,,,,
Colima,32.4,32.1,32.3,33.5,,,,,,,,,
Chiapas,29.2,29.9,32.1,33.6,,,,,,,,,
Chihuahua,18.8,23.5,28.4,28.6,,,,,,,,,
Ciudad de México,22.3,25.6,24.2,27.0,,,,,,,,,
Durango,21.6,26.6,29.0,31.3,,,,,,,,,
Guanajuato,23.9,27.1,27.6,30.6,,,,,,,,,
Guerrero,31.2,31.7,32.9,34.4,,,,,,,,,
Hidalgo,22.7,25.8,26.1,29.1,,,,,,,,,
Jalisco,26.6,29.3,30.5,32.8,,,,,,,,,
Estado de México,20.8,24.0,22.9,24.9,,,,,,,,,
Michoacán,26.3,29.1,29.7,31.5,,,,,,,,,
Morelos,28.4,30.4,31.6,33.5,,,,,,,,,
Nayarit,29.8,31.5,32.9,34.3,,,,,,,,,
Nuevo León,23.0,28.9,30.9,30.0,,,,,,,,,
Oaxaca,28.4,29.6,31.2,32.4,,,,,,,,,
Puebla,23.3,26.2,25.6,27.3,,,,,,,,,
Querétaro,24.1,27.9,27.5,30.7,,,,,,,,,
Quintana Roo,28.9,29.2,30.9,32.2,,,,,,,,,
San Luis Potosí,25.1,28.6,30.8,34.0,,,,,,,,,
Sinaloa,30.2,31.2,33.9,36.6,,,,,,,,,
Sonora,25.5,28.5,32.8,33.0,,,,,,,,,
Tabasco,28.0,29.7,32.1,34.4,,,,,,,,,
Tamaulipas,25.0,29.1,31.5,32.0,,,,,,,,,
Tlaxcala,21.7,26.2,23.9,25.9,,,,,,,,,
Veracruz,24.4,26.6,28.1,30.4,,,,,,,,,
Yucatán,29.1,30.6,32.8,34.5,,,,,,,,,
Zacatecas,22.3,27.2,27.8,30.6,,,,,,,,,
Nacional,24.6,27.8,30.2,31.4,,,,,,,,,
